Entry ID,Level,Topic,Learning Outcome,Instructional Step,Narration Script,Visual Prompt,Keywords,Pedagogical_Notes,Technical_Prompt_Enhancement,AI_Model_Config,Style_Reference,Validation_Criteria,Luganda_Narration,Swahili_Narration,Audio_Emotion_Cue,Quiz_Question,Quiz_Options,Correct_Answer,Interactive_Element,Bloom_Taxonomy_Level,File_Naming_Convention,Asset_Size_Limit,Compression_Setting,Offline_Compatibility,QA_Checkpoint,Cultural_Review_Status
BIO-S1-T1.1-001,Senior 1,Introduction to Biology,"a) biology is the study of life",1. Defining Biology,"Biology is the study of all living things, like plants and animals.","A friendly Ugandan teacher stands in a simple but bright classroom, pointing at a chalkboard. On the board is written ""BIOLOGY"" and simple chalk drawings of a maize plant, a goat, and a crested crane.",biology;living things;teacher;classroom;Uganda;plants;animals,"Establishes the core definition using locally recognizable examples. The teacher figure provides a relatable context for learning.","Add: vibrant colors, low-res for mobile, include refugee camp elements like mud walls, ensure diversity in teacher representation","Stable Diffusion v1.5, guidance_scale=7.5, num_inference_steps=50, seed=42","realistic educational illustration, hand-drawn style with Ugandan motifs","CLIP similarity >0.85 to prompt, SAM edge detection accuracy >90%, cultural elements (maize, crane) verified, no biases","Enkola y'ekizungu ni okusoma ebintu ebikwata ku bulamu, ng'emituba n'embuzi.","Biolojia ni kusoma vitu vyote vilivyo hai, kama mimea na wanyama.","neutral, engaging, warm teacher tone","What is Biology?","A) Study of life B) Study of rocks C) Study of stars D) Study of machines","A","tap for narration, swipe for examples","Remembering","BIO-S1-T1.1-001_img.png","512x512","JPEG 80% quality","Yes","AI-generated preview checked for clarity","Approved - Ugandan cultural fit"
BIO-S1-T1.1-002,Senior 1,Introduction to Biology,"c) life processes are common to all living things",2. Life Process: Nutrition,"All living things need food to get energy. This is called nutrition.","A close-up shot of a young Ugandan girl sitting outside a simple mud-brick home, happily eating a piece of roasted maize (corn on the cob).",nutrition;food;energy;child;eating;maize;Uganda,"Connects a scientific term (Nutrition) to a common, everyday activity. Using a child makes the concept accessible and relatable.","Add: joyful expression, natural lighting, include jerrycan in background for cultural relevance, child in school uniform","ControlNet + Stable Diffusion, guidance_scale=8.0, steps=40, control_image=simple_sketch","photorealistic, warm earthy tones, child-friendly","CLIP >0.8, SAM object segmentation (maize accurate), emotion detection positive","Buli kintu ekyo okukola okufuna emmere okusobola okola engeri. Kino kiri okwogera nutrition.","Vitu vyote hai vinahitaji chakula kupata nishati. Hii inaitwa lishe.","enthusiastic, relatable","What provides energy to living things?","A) Water B) Food C) Air D) Soil","B","zoom on food item, quiz trigger","Understanding","BIO-S1-T1.1-002_img.png","512x512","JPEG 80% quality","Yes","Human review for sensitivity","Approved - Relatable to refugee diets"
BIO-S1-T1.1-003,Senior 1,Introduction to Biology,"c) life processes are common to all living things",3. Life Process: Respiration,"Living things breathe to release energy from their food. This is called respiration.","A clear, simple animated diagram showing a person breathing in air (labeled 'Oxygen') into their lungs, and breathing out air (labeled 'Carbon Dioxide').",respiration;breathing;oxygen;carbon dioxide;lungs;energy,"Simplifies the complex chemical process of respiration into the more understandable act of breathing, focusing on the gas exchange aspect.","Add: animated arrows for flow, Ugandan person in diagram, simple icons for gases","LLaVA for decomposition + Diffusion, guidance=7.0, steps=30","simple line diagram, animated GIF export","SAM validation for labels, CLIP textual alignment >0.9","Ebintu ebyo okukola balaga okutwala engeri okuva mu kkubo. Kino kiri okwogera respiration.","Vitu hai vinapumua ili kutoa nishati kutoka kwake chakula. Hii inaitwa kupumua.","calm, explanatory","What do living things breathe in?","A) Carbon Dioxide B) Oxygen C) Nitrogen D) Helium","B","play animation, pause for quiz","Understanding","BIO-S1-T1.1-003_img.png","512x512","JPEG 80% quality","Yes","Animation loop tested offline","Approved"
BIO-S1-T1.1-004,Senior 1,Introduction to Biology,"c) life processes are common to all living things",4. Life Process: Movement,"All living things move. Animals move to find food, and plants move slowly towards light.","A split-screen image. On the left, a graceful grey crowned crane walks through savanna grassland. On the right, a time-lapse style image showing a bean seedling bending towards a window where light is coming from.",movement;animals;plants;crane;seedling;light,"Contrasts observable, fast movement in animals with the less obvious, slow movement (tropism) in plants to broaden the definition of 'movement'.","Add: time-lapse effect simulation, Ugandan savanna background, natural progression","Uni-ControlNet, guidance=7.5, steps=50, canny_edge control","split-screen realistic photo, time-lapse blur","CLIP dual-scene match >0.85, visual flow coherence","Buli kintu ekyo okukola okuzula. Ensolo zizula okusobola okuva emmere, n'emituba egizula butere.","Vitu vyote hai vinahamia. Wanyama wanahamia kupata chakula, mimea inahamia polepole kuelekea nuru.","dynamic, comparative","How do plants move?","A) Run B) Towards light C) Fly D) Swim","B","split-swipe interaction, quiz","Applying","BIO-S1-T1.1-004_img.png","512x512","JPEG 80% quality","Yes","Coherence check with CBC alignment","Approved - Local wildlife"
BIO-S1-T1.1-005,Senior 1,Introduction to Biology,"c) life processes are common to all living things",5. Life Process: Excretion,"Living things must remove waste from their bodies. This is called excretion.","A simple, respectful illustration showing a diagram of the human urinary system (kidneys, bladder) with arrows indicating the removal of waste as urine.",excretion;waste;human body;urinary system;kidneys,"Uses a scientific diagram to explain a sensitive topic, ensuring the focus remains clinical and educational while clearly defining the concept.","Add: neutral colors, anatomical accuracy, no gender specifics","Stable Diffusion fine-tuned on medical diagrams, guidance=6.5, steps=40","clinical line drawing, respectful and simple","SAM for arrow accuracy, cultural neutrality check","Ebintu ebyo okukola balina okutwala obulemu okuva mu mubiri gwabwe. Kino kiri okwogera excretion.","Vitu hai vinahitaji kuondoa taka kutoka mwili wao. Hii inaitwa kuondoa.","matter-of-fact, educational","What is excretion?","A) Eating B) Removing waste C) Sleeping D) Growing","B","highlight arrows, interactive labels","Remembering","BIO-S1-T1.1-005_img.png","512x512","JPEG 80% quality","Yes","Sensitivity review passed","Approved"
BIO-S1-T1.1-006,Senior 1,Introduction to Biology,"c) life processes are common to all living things",6. Life Process: Growth,"All living things grow. They start small and get bigger over time.","A sequence of three simple images. The first shows a small maize seedling, the second a young maize plant, and the third a fully-grown maize plant with cobs.",growth;plant;maize;seedling;development,"Illustrates the concept of growth using a familiar agricultural plant (maize), showing a clear progression from seedling to mature plant.","Add: sequential panels, Ugandan soil background, realistic growth stages","Diffusion with sequence control, guidance=7.0, steps=45","sequential photo-realistic, agricultural style","CLIP sequence consistency >0.9","Buli kintu ekyo okukola okukula. Balina okuva mu kkere okukula okukula.","Vitu vyote hai vinakua. Wanafaa kuanza madogo na kuwa makubwa zaidi.","progressive, encouraging","What happens in growth?","A) Get smaller B) Get bigger C) Change color D) Stop moving","B","carousel swipe for sequence, quiz","Understanding","BIO-S1-T1.1-006_img.png","512x512","JPEG 80% quality","Yes","Growth accuracy verified","Approved - Staple crop relevance"
BIO-S1-T1.1-007,Senior 1,Introduction to Biology,"c) life processes are common to all living things",7. Life Process: Reproduction,"Living things produce young ones like themselves. This is called reproduction.","A heartwarming scene of a mother hen surrounded by her small, fluffy chicks, pecking at the ground in a village compound.",reproduction;young ones;family;hen;chicks;village,"Uses a common and relatable example of a mother animal with its young to explain the concept of reproduction in a simple and observable way.","Add: warm lighting, village setting with thatched huts, diverse chick colors","Stable Diffusion, guidance=8.0, steps=50","heartwarming illustration, village realism","CLIP emotion positive >0.8, cultural family norms","Ebintu ebyo okukola balina okuva abaana abakuganya ng'abo. Kino kiri okwogera reproduction.","Vitu hai vinazaa watoto sawa nao wenyewe. Hii inaitwa uzazi.","tender, familial","What is reproduction?","A) Growing B) Making young C) Eating D) Breathing","B","zoom on family, quiz popup","Remembering","BIO-S1-T1.1-007_img.png","512x512","JPEG 80% quality","Yes","Family sensitivity check","Approved"
BIO-S1-T1.1-008,Senior 1,Introduction to Biology,"c) life processes are common to all living things",8. Life Process: Sensitivity,"Living things can sense changes around them and react. This is called sensitivity.","A close-up shot of a person's hand gently touching the leaves of a mimosa plant, showing the leaves folding inwards in response.",sensitivity;reaction;touch;mimosa plant;senses,"Demonstrates sensitivity with a tangible and visually responsive example (Mimosa pudica), making the abstract concept of 'reacting to stimuli' concrete.","Add: motion blur for folding, tropical Ugandan plant setting","ControlNet depth map, guidance=7.5, steps=40","close-up realistic photo, dynamic response","SAM motion detection, reaction accuracy","Ebintu ebyo okukola balina okusobola okuva ebikolwa mu nteesa okukola okukolagana. Kino kiri okwogera sensitivity.","Vitu hai vinaweza kuhisi mabadiliko karibu nao na kureag.","curious, demonstrative","What is sensitivity?","A) Moving B) Sensing changes C) Eating D) Sleeping","B","simulate touch interaction","Applying","BIO-S1-T1.1-008_img.png","512x512","JPEG 80% quality","Yes","Plant ID verified","Approved"
BIO-S1-T1.1-009,Senior 1,Introduction to Biology,"c) life processes are common to all living things",9. Non-living vs. Living,"A moving car is not alive because it does not need food and cannot reproduce.","A clear visual contrast: on one side, a picture of a boda boda (motorcycle taxi) on a dusty road. On the other side, a goat chewing on some leaves. A red 'X' is over the boda boda and a green checkmark '✓' is over the goat.",living;non-living;car;boda boda;goat;comparison,"Addresses a common misconception by contrasting an object that moves (boda boda) with a living organism, reinforcing the full set of life processes.","Add: dusty Ugandan road, local boda colors, clear icons","Stable Diffusion, guidance=7.0, steps=35","contrast illustration, bold icons","CLIP contrast score >0.9","Emmotoka egakolagana tegakola obulamu kubanga tegatala emmere tegakola okuva abaana.","Gari linalosonga si hai kwa sababu halitaji chakula na hasiwezi kuzaa.","comparative, clarifying","Why is a car not alive?","A) It moves B) Needs no food C) Can reproduce D) Breathes","B","toggle contrast, quiz","Analyzing","BIO-S1-T1.1-009_img.png","512x512","JPEG 80% quality","Yes","Misconception alignment check","Approved - Local transport"
BIO-S1-T1.2-001,Senior 1,Cells,"a) know that the basic unit of living organisms is a cell",1. The Basic Unit of Life,"All living things are made of tiny building blocks called cells. They are the basic unit of life.","A microscopic view showing a collection of simple, clearly defined cells fitting together like bricks in a wall, with a magnifying glass icon in the corner to signify scale.",cell;basic unit of life;organism;microscope,"Uses the 'building blocks' analogy, which is a powerful and common pedagogical tool for introducing the concept of the cell as a fundamental unit.","Add: brick analogy overlay, microscopic scale bar, simple colors","LLaVA decomposition + Diffusion, guidance=6.5, steps=30","microscopic illustration, brick metaphor","SAM cell boundary detection >95%","Buli kintu ekyo okukola kikolebwa mu matindo ag'amaanyi okugwa cells. Gano ni basic unit y'ekizungu.","Vitu vyote hai vinatengenezwa na matofali madogo yanayoitwa seli. Hizi ndizo kitengo cha msingi cha maisha.","foundational, analogous","What are cells?","A) Building blocks B) Food C) Water D) Air","A","magnify zoom, quiz","Remembering","BIO-S1-T1.2-001_img.png","512x512","JPEG 80% quality","Yes","Analogy effectiveness review","Approved"
